date,stock_code,prediction,pred_rank
2023-09-20,600030.SH,-0.0006820407,30
2023-09-20,600031.SH,-0.0007343596,31
2023-09-20,600036.SH,-0.0028155986,41
2023-09-20,600050.SH,-0.0006678833,29
2023-09-20,600104.SH,0.0030988767,9
2023-09-20,600276.SH,-0.0064120265,46
2023-09-20,600309.SH,-0.0007587101,32
2023-09-20,600438.SH,0.0016292441,13
2023-09-20,600519.SH,-0.0013073578,34
2023-09-20,600585.SH,-0.0017450971,36
2023-09-20,600690.SH,-0.00021924256,25
2023-09-20,600809.SH,-0.0009214126,33
2023-09-20,600887.SH,9.996205e-06,21
2023-09-20,600900.SH,0.0018732715,12
2023-09-20,601012.SH,0.0029789284,10
2023-09-20,601138.SH,-0.00048765505,28
2023-09-20,601166.SH,-0.0003821588,26
2023-09-20,601225.SH,0.0009215793,16
2023-09-20,601288.SH,0.0028909703,11
2023-09-20,601318.SH,0.00040635045,18
2023-09-20,601398.SH,0.0054593626,5
2023-09-20,601601.SH,-0.00478097,45
2023-09-20,601668.SH,-0.0013183493,35
2023-09-20,601857.SH,-0.0030841862,43
2023-09-20,601888.SH,-0.018250179,50
2023-09-20,601899.SH,-0.0027449836,40
2023-09-20,601919.SH,-8.930612e-06,23
2023-09-20,601939.SH,0.008171426,2
2023-09-27,000001.SZ,-0.00055434846,15
2023-09-27,000002.SZ,0.0077030323,1
2023-09-27,000333.SZ,-0.0043068426,42
2023-09-27,000568.SZ,-0.0027452484,32
2023-09-27,000651.SZ,-0.0025958263,30
2023-09-27,000725.SZ,0.00635118,3
2023-09-27,000858.SZ,-0.004174709,40
2023-09-27,002027.SZ,-0.00016201589,13
2023-09-27,002142.SZ,-0.0024305342,27
2023-09-27,002230.SZ,-0.009829941,48
2023-09-27,002304.SZ,0.0022816425,4
